instrument	category	source	collection	bright	odd	slope	flat	h1	crest	zcr
SOHLER03 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER03.vitaltable	WaveEdit Online (CC0)	2.220	0.699	-3.666	0.100	0.517	1.997	0.027
SOHLER04 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER04.vitaltable	WaveEdit Online (CC0)	4.461	0.638	-4.721	0.053	0.390	2.197	0.050
SOHLER06 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER06.vitaltable	WaveEdit Online (CC0)	4.301	0.594	-2.967	0.164	0.197	2.042	0.033
SOHLER07 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER07.vitaltable	WaveEdit Online (CC0)	3.038	0.533	-3.556	0.096	0.267	1.970	0.026
SOHLER08 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER08.vitaltable	WaveEdit Online (CC0)	3.080	0.574	-4.022	0.060	0.281	2.235	0.025
SOHLER15 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER15.vitaltable	WaveEdit Online (CC0)	3.336	0.518	-2.957	0.105	0.357	1.546	0.051
SOHLER18 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER18.vitaltable	WaveEdit Online (CC0)	2.492	0.635	-2.676	0.152	0.552	2.030	0.030
SOHLER23 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER23.vitaltable	WaveEdit Online (CC0)	6.277	0.590	-2.688	0.139	0.205	1.893	0.069
SOHLER26 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER26.vitaltable	WaveEdit Online (CC0)	3.906	0.616	-3.113	0.140	0.256	2.060	0.065
SOHLER27 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER27.vitaltable	WaveEdit Online (CC0)	3.302	0.551	-2.994	0.123	0.211	1.684	0.044
SOHLER30 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER30.vitaltable	WaveEdit Online (CC0)	3.611	0.452	-2.448	0.164	0.302	1.941	0.051
SOHLER50 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER50.vitaltable	WaveEdit Online (CC0)	2.490	0.598	-3.328	0.055	0.498	1.549	0.030
SOHLER55 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER55.vitaltable	WaveEdit Online (CC0)	3.463	0.532	-3.644	0.095	0.303	2.172	0.043
SOHLER56 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER56.vitaltable	WaveEdit Online (CC0)	2.882	0.406	-3.150	0.090	0.234	1.825	0.041
SOHLER58 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER58.vitaltable	WaveEdit Online (CC0)	3.043	0.697	-2.576	0.113	0.559	1.580	0.049
SOHLER61 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER61.vitaltable	WaveEdit Online (CC0)	2.716	0.623	-3.317	0.107	0.448	1.839	0.033
SOHLER67 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER67.vitaltable	WaveEdit Online (CC0)	4.914	0.678	-3.061	0.100	0.403	2.167	0.067
SOHLER71 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER71.vitaltable	WaveEdit Online (CC0)	3.885	0.615	-3.065	0.113	0.144	2.083	0.044
SOHLER72 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER72.vitaltable	WaveEdit Online (CC0)	3.185	0.569	-2.846	0.093	0.484	2.176	0.050
SOHLER77 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER77.vitaltable	WaveEdit Online (CC0)	2.550	0.490	-3.741	0.058	0.325	1.729	0.031
SOHLER78 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER78.vitaltable	WaveEdit Online (CC0)	1.720	0.635	-3.276	0.057	0.622	1.775	0.024
SOHLER84 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER84.vitaltable	WaveEdit Online (CC0)	3.855	0.558	-2.594	0.141	0.193	1.494	0.044
SOHLER95 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER95.vitaltable	WaveEdit Online (CC0)	5.185	0.527	-3.481	0.077	0.282	1.711	0.050
SOHLERBN WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLERBN.vitaltable	WaveEdit Online (CC0)	2.538	0.468	-5.246	0.030	0.311	2.039	0.036
SR240 - Cowbell WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/SR240 - Cowbell.vital	other	3.057	0.452	-2.949	0.022	0.342	2.123	0.006
SR9999 - Upright Bass WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/SR9999 - Upright Bass.vital	other	2.617	0.441	-5.467	0.010	0.213	2.288	0.000
SY - Flute WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/SY - Flute.vital	other	8.500	0.484	-1.191	0.000	0.000	1.414	0.017
SYNLP104 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP104.vitaltable	WaveEdit Online (CC0)	1.985	0.646	-5.599	0.017	0.484	1.599	0.016
SYNLP109 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP109.vitaltable	WaveEdit Online (CC0)	3.185	0.993	-2.600	0.164	0.001	1.474	0.046
SYNLP115 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP115.vitaltable	WaveEdit Online (CC0)	3.287	0.613	-5.879	0.002	0.110	1.822	0.009
SYNLP138 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP138.vitaltable	WaveEdit Online (CC0)	9.746	0.804	-2.361	0.174	0.003	2.041	0.014
SYNLP141 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP141.vitaltable	WaveEdit Online (CC0)	2.595	0.640	-4.990	0.038	0.492	1.410	0.041
SYNLP144 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP144.vitaltable	WaveEdit Online (CC0)	3.938	0.643	-4.694	0.049	0.251	1.220	0.020
SYNLP149 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP149.vitaltable	WaveEdit Online (CC0)	7.824	0.500	-4.096	0.012	0.015	1.470	0.014
SYNLP152 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP152.vitaltable	WaveEdit Online (CC0)	22.988	0.747	-1.354	0.093	0.078	1.548	0.030
SYNLP167 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP167.vitaltable	WaveEdit Online (CC0)	3.241	0.497	-3.611	0.105	0.191	1.488	0.046
SYNLP17 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP17.vitaltable	WaveEdit Online (CC0)	8.029	0.833	-2.697	0.181	0.006	1.350	0.010
SYNLP174 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP174.vitaltable	WaveEdit Online (CC0)	6.214	0.962	-3.793	0.008	0.008	1.584	0.080
SYNLP186 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP186.vitaltable	WaveEdit Online (CC0)	2.337	0.525	-2.706	0.213	0.341	1.435	0.024
SYNLP190 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP190.vitaltable	WaveEdit Online (CC0)	7.754	0.852	-2.401	0.162	0.003	1.413	0.015
SYNLP41 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP41.vitaltable	WaveEdit Online (CC0)	3.352	0.493	-5.042	0.047	0.175	2.534	0.016
SYNLP49 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP49.vitaltable	WaveEdit Online (CC0)	4.209	0.459	-2.908	0.188	0.120	1.313	0.007
SYNLP58 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP58.vitaltable	WaveEdit Online (CC0)	4.518	0.639	-4.976	0.010	0.293	1.415	0.144
SYNLP64 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP64.vitaltable	WaveEdit Online (CC0)	2.062	0.389	-5.356	0.013	0.205	1.409	0.064
SYNLP73 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP73.vitaltable	WaveEdit Online (CC0)	8.184	0.487	-3.376	0.099	0.030	1.425	0.015
SYNLP84 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP84.vitaltable	WaveEdit Online (CC0)	7.174	0.751	-2.484	0.200	0.003	1.357	0.006
SYNLP90 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP90.vitaltable	WaveEdit Online (CC0)	4.655	0.424	-3.316	0.160	0.040	1.405	0.066
SYNLP93 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP93.vitaltable	WaveEdit Online (CC0)	4.984	0.759	-4.077	0.098	0.290	1.455	0.074
SYNLP95 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP95.vitaltable	WaveEdit Online (CC0)	2.478	0.649	-3.678	0.079	0.342	1.408	0.038
Saturn Chorus (Rings Of) WT.xrni	additive and organ	/home/meneses/.local/share/vital/VitalBank/Presets/Saturn Chorus (Rings Of).vital	other	3.333	0.610	-3.526	0.003	0.287	2.207	0.004
SawFMRing WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Combination of various synthesis methods/SawFMRing.vitaltable	Kimura Taro (CC0)	17.009	0.812	-1.273	0.003	0.133	2.108	0.015
SawPWMSync3 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/OSC Sync+PWM/SawPWMSync3.vitaltable	Kimura Taro (CC0)	10.627	0.522	-1.708	0.008	0.044	2.363	0.008
SawPWMSync4 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/OSC Sync+PWM/SawPWMSync4.vitaltable	Kimura Taro (CC0)	6.540	0.649	-1.933	0.009	0.458	2.637	0.005
SawPhaser WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Filter Sweep/SawPhaser.vitaltable	Kimura Taro (CC0)	5.077	0.745	-2.147	0.011	0.524	2.643	0.003
SawSync2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/OSC Sync+PWM/SawSync2.vitaltable	Kimura Taro (CC0)	10.061	0.499	-1.788	0.008	0.053	2.385	0.008
SawSync4 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/OSC Sync+PWM/SawSync4.vitaltable	Kimura Taro (CC0)	4.917	0.611	-2.000	0.008	0.469	2.358	0.004
SawSync6 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/OSC Sync+PWM/SawSync6.vitaltable	Kimura Taro (CC0)	10.986	0.679	-1.834	0.008	0.437	2.449	0.012
SelfFeedbackSaw WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/FM/SelfFeedbackSaw.vitaltable	Kimura Taro (CC0)	70.598	0.693	-1.914	0.010	0.486	2.655	0.079
Shaper Wave3 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Shaper Wave/Shaper Wave3.vitaltable	Kimura Taro (CC0)	2.525	0.609	-4.930	0.022	0.309	1.827	0.004
Shaper Wave5 Icarus Denoise WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Shaper Wave/Shaper Wave5 Icarus Denoise.vitaltable	Kimura Taro (CC0)	2.077	0.487	-5.015	0.002	0.394	2.145	0.002
SignalTool2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/SignalTool2.vitaltable	Kimura Taro (CC0)	5.625	0.500	-1.987	0.007	0.396	1.741	0.006
SignalTool3 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/SignalTool3.vitaltable	Kimura Taro (CC0)	5.531	0.407	-1.957	0.007	0.281	1.684	0.006
SilentScreamer WT.xrni	additive and organ	/home/meneses/.local/share/vital/VitalBank/Presets/SilentScreamer.vital	other	1.803	0.511	-3.091	0.018	0.451	2.144	0.002
Sine4bit Fold WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Mod Sine/Sine4bit Fold.vitaltable	Kimura Taro (CC0)	9.170	0.998	-1.790	0.004	0.150	1.691	0.015
Sine4bit WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Mod Sine/Sine4bit.vitaltable	Kimura Taro (CC0)	5.652	0.526	-1.937	0.008	0.331	2.078	0.014
Space Trap Bells WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Space Trap Bells.vital	other	7.471	0.438	-2.852	0.013	0.156	2.895	0.006
Spectral1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/jo.Spectral Morph 1.0/Spectral1.vitaltable	Kimura Taro (CC0)	10.831	0.613	-1.917	0.010	0.005	2.355	0.010
Spectral2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/jo.Spectral Morph 1.0/Spectral2.vitaltable	Kimura Taro (CC0)	8.315	0.541	-2.134	0.009	0.002	2.400	0.006
Sub Nastybuds WT.xrni	additive and organ	/home/meneses/.local/share/vital/VitalPresets/Presets/Sub Nastybuds.vital	user/Discord presets (third-party)	8.500	0.500	-1.191	0.000	0.000	1.414	0.017
Such a Downer WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Such a Downer.vital	other	4.672	0.572	-4.963	0.014	0.292	2.686	0.005
Summer Arp WT.xrni	additive and organ	/home/meneses/.local/share/vital/VitalBank/Presets/Summer Arp.vital	other	12.706	0.656	-1.407	0.072	0.306	1.746	0.010
SweepSaw WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Filter Sweep/SweepSaw.vitaltable	Kimura Taro (CC0)	3.595	0.736	-2.439	0.004	0.577	3.171	0.002
Synth 109 WT.xrni	additive and organ	/home/meneses/.local/share/vital/nahush2321/Presets/Synth 109.vital	user/Discord presets (third-party)	8.131	0.410	-2.898	0.007	0.000	1.901	0.010
Synth 45 WT.xrni	additive and organ	/home/meneses/.local/share/vital/nahush2321/Presets/Synth 45.vital	user/Discord presets (third-party)	5.902	0.785	-1.619	0.131	0.254	1.903	0.006
Synth Brass - Super Stab WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Synth Brass - Super Stab.vital	other	6.664	0.564	-2.374	0.008	0.078	2.891	0.006
Synthy Flute WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Synthy Flute.vital	other	7.024	0.699	-4.313	0.005	0.406	2.862	0.006
TIDYB001 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB001.vitaltable	WaveEdit Online (CC0)	7.604	0.563	-2.668	0.136	0.106	2.008	0.072
TRON_MAL WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TRON_MAL.vitaltable	WaveEdit Online (CC0)	6.244	0.373	-4.602	0.033	0.015	2.229	0.047
Take Me Away Arp WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Take Me Away Arp.vital	other	3.220	0.992	-3.382	0.001	0.010	1.810	0.005
Term5 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/AudioTerm/Term5.vitaltable	Kimura Taro (CC0)	15.457	0.457	-3.667	0.000	0.000	2.090	0.010
Term7 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/AudioTerm/Term7.vitaltable	Kimura Taro (CC0)	11.711	0.759	-5.212	0.001	0.123	2.022	0.005
Term8 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/AudioTerm/Term8.vitaltable	Kimura Taro (CC0)	1.979	0.570	-3.212	0.002	0.540	1.687	0.000
Term9 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/AudioTerm/Term9.vitaltable	Kimura Taro (CC0)	6.593	0.439	-5.480	0.001	0.013	2.272	0.001
Terra Bend1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/K-Devicees Terra/Terra Bend1.vitaltable	Kimura Taro (CC0)	4.493	0.571	-3.632	0.023	0.334	2.023	0.008
Terra Bend_PD IcarusDenoise WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/K-Devicees Terra/Terra Bend+PD IcarusDenoise.vitaltable	Kimura Taro (CC0)	9.634	0.409	-2.566	0.008	0.052	1.703	0.017
Tremolo Guitar WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Tremolo Guitar.vital	other	1.544	0.515	-5.757	0.000	0.485	1.856	0.002
VOCAL_FO WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/VOCAL_FO.vitaltable	WaveEdit Online (CC0)	9.760	0.998	-2.116	0.109	0.019	2.369	0.102
VOXSYNTH WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/VOXSYNTH.vitaltable	WaveEdit Online (CC0)	3.012	0.628	-4.481	0.029	0.282	2.624	0.027
VPS WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/VPS.vitaltable	WaveEdit Online (CC0)	3.754	0.617	-3.976	0.059	0.080	1.482	0.050
VS Morph1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Prophet VS Wave/VS Morph1.vitaltable	Kimura Taro (CC0)	6.136	0.511	-1.968	0.004	0.210	2.270	0.009
VS Morph2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Prophet VS Wave/VS Morph2.vitaltable	Kimura Taro (CC0)	6.446	0.615	-2.418	0.003	0.224	2.836	0.009
VS Morph3 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Prophet VS Wave/VS Morph3.vitaltable	Kimura Taro (CC0)	2.942	0.727	-2.010	0.002	0.379	2.435	0.004
VS Morph4 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Prophet VS Wave/VS Morph4.vitaltable	Kimura Taro (CC0)	4.260	0.525	-1.935	0.003	0.258	2.191	0.007
VS VMorph3 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Prophet VS Wave/VS VMorph3.vitaltable	Kimura Taro (CC0)	12.425	0.430	-2.281	0.029	0.112	2.798	0.012
VS Wave WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Prophet VS Wave/VS Wave.vitaltable	Kimura Taro (CC0)	4.586	0.720	-2.385	0.034	0.467	2.302	0.007
VWave1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Combination of various synthesis methods/VWave1.vitaltable	Kimura Taro (CC0)	4.708	0.606	-3.680	0.002	0.285	2.887	0.004
VWave2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Combination of various synthesis methods/VWave2.vitaltable	Kimura Taro (CC0)	3.174	0.587	-3.357	0.002	0.413	1.941	0.003
VWave3 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Combination of various synthesis methods/VWave3.vitaltable	Kimura Taro (CC0)	6.548	0.427	-3.174	0.003	0.165	2.118	0.005
VWave5 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Combination of various synthesis methods/VWave5.vitaltable	Kimura Taro (CC0)	13.033	0.579	-1.555	0.007	0.163	2.381	0.011
VWave6 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Combination of various synthesis methods/VWave6.vitaltable	Kimura Taro (CC0)	16.006	0.717	-1.006	0.005	0.306	1.898	0.022
Vintage B3 Organ WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Vintage B3 Organ.vital	other	2.624	0.556	-3.393	0.009	0.522	2.049	0.003
Vital Randomizer - Sunfall WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Vital Randomizer - Sunfall.vital	other	3.677	0.486	-3.608	0.004	0.329	2.459	0.004
Vocal - Super Pluck WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Vocal - Super Pluck.vital	other	9.923	0.640	-3.047	0.009	0.344	3.228	0.009
VowelSync WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/OSC Sync+PWM/VowelSync.vitaltable	Kimura Taro (CC0)	11.157	0.525	-2.351	0.005	0.192	3.144	0.006
Waveshaper1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Waveshaper/Waveshaper1.vitaltable	Kimura Taro (CC0)	4.447	0.910	-3.444	0.005	0.164	2.330	0.005
Waveshaper2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Waveshaper/Waveshaper2.vitaltable	Kimura Taro (CC0)	2.823	0.663	-3.104	0.005	0.364	2.383	0.003
Worth a try Arp 1-4 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Worth a try Arp 1-4.vital	other	3.486	0.567	-2.412	0.088	0.440	2.404	0.005
Wub Harmonically Interesting WT.xrni	additive and organ	/home/meneses/.local/share/vital/VitalPresets/Presets/Wub Harmonically Interesting.vital	user/Discord presets (third-party)	8.500	0.500	-1.191	0.000	0.000	1.414	0.017
aaa WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/aaa.vital	other	6.116	0.685	-2.083	0.044	0.369	2.352	0.005
alienfountain WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/alienfountain.vital	other	16.984	0.889	-1.779	0.093	0.128	2.406	0.037
ba.009 WT.xrni	additive and organ	/home/meneses/.local/share/vital/qub1t/Presets/ba.009.vital	user/Discord presets (third-party)	4.417	0.660	-2.613	0.156	0.376	2.005	0.003
ba.016 WT.xrni	additive and organ	/home/meneses/.local/share/vital/qub1t/Presets/ba.016.vital	user/Discord presets (third-party)	2.545	0.544	-5.396	0.001	0.345	2.086	0.002
ba.023 WT.xrni	additive and organ	/home/meneses/.local/share/vital/qub1t/Presets/ba.023.vital	user/Discord presets (third-party)	4.187	0.722	-1.916	0.024	0.463	1.252	0.008
ba.fascinator WT.xrni	additive and organ	/home/meneses/.local/share/vital/qub1t/Presets/ba.fascinator.vital	user/Discord presets (third-party)	3.828	0.567	-2.044	0.147	0.481	2.728	0.005
cave ambient WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/cave ambient.vital	other	5.130	0.602	-3.644	0.038	0.419	2.377	0.020
ch.dub.impulsive WT.xrni	additive and organ	/home/meneses/.local/share/vital/qub1t/Presets/ch.dub.impulsive.vital	user/Discord presets (third-party)	3.456	0.670	-2.123	0.083	0.472	2.706	0.001
cowbell808_mk11_pwm WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/cowbell808_mk11_pwm.vital	other	4.572	0.598	-2.236	0.025	0.412	2.631	0.003
first saw WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/first saw.vital	other	4.676	0.689	-4.538	0.000	0.308	2.554	0.004
ky.016 WT.xrni	additive and organ	/home/meneses/.local/share/vital/qub1t/Presets/ky.016.vital	user/Discord presets (third-party)	3.391	0.510	-2.361	0.012	0.402	1.395	0.004
melody 11 WT.xrni	additive and organ	/home/meneses/.local/share/vital/nahush2321/Presets/melody 11.vital	user/Discord presets (third-party)	6.458	0.446	-2.999	0.164	0.088	2.187	0.063
minimal house organ 02 WT.xrni	additive and organ	/home/meneses/.local/share/vital/qub1t/Presets/minimal house organ 02.vital	user/Discord presets (third-party)	3.482	0.493	-3.123	0.012	0.311	2.520	0.003
minimal house pad 6 WT.xrni	additive and organ	/home/meneses/.local/share/vital/qub1t/Presets/minimal house pad 6.vital	user/Discord presets (third-party)	5.103	0.588	-2.599	0.205	0.114	1.749	0.012
minimal house stab 02 WT.xrni	additive and organ	/home/meneses/.local/share/vital/qub1t/Presets/minimal house stab 02.vital	user/Discord presets (third-party)	7.885	0.708	-1.498	0.057	0.485	2.639	0.008
minimal house stab 03 WT.xrni	additive and organ	/home/meneses/.local/share/vital/qub1t/Presets/minimal house stab 03.vital	user/Discord presets (third-party)	2.206	0.501	-5.266	0.000	0.229	2.256	0.002
or.crvena WT.xrni	additive and organ	/home/meneses/.local/share/vital/qub1t/Presets/or.crvena.vital	user/Discord presets (third-party)	4.964	0.675	-3.208	0.028	0.327	2.446	0.006
pd.011 WT.xrni	additive and organ	/home/meneses/.local/share/vital/qub1t/Presets/pd.011.vital	user/Discord presets (third-party)	1.918	0.656	-5.399	0.002	0.492	2.161	0.002
poly6 P10-PS2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift2/poly6 P10-PS2.vitaltable	Kimura Taro (CC0)	9.727	0.598	-2.032	0.108	0.183	2.175	0.001
rs.009 WT.xrni	additive and organ	/home/meneses/.local/share/vital/qub1t/Presets/rs.009.vital	user/Discord presets (third-party)	4.870	0.816	-3.062	0.014	0.409	1.431	0.012
sw.005 WT.xrni	additive and organ	/home/meneses/.local/share/vital/qub1t/Presets/sw.005.vital	user/Discord presets (third-party)	4.693	0.623	-1.970	0.122	0.540	2.529	0.003
vintage bell WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/vintage bell.vital	other	6.589	0.960	-2.216	0.000	0.000	1.878	0.010
AJ-PWM Saw2 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Alpha Juno SawPWM/AJ-PWM Saw2.vitaltable	Kimura Taro (CC0)	5.688	0.368	-1.999	0.321	0.325	1.327	0.002
AJ-PWM Saw3 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Alpha Juno SawPWM/AJ-PWM Saw3.vitaltable	Kimura Taro (CC0)	9.460	0.347	-1.966	0.296	0.193	1.299	0.004
